Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Note Creation,Success,49,30,2017-12-05 03:01:12 +0530,2017-12-12 13:36:53 -0600,0:00:40
Create a Dynmaic Documentation Note_Script1,Success,23,12,2017-12-07 09:52:25 -0600,2017-12-27 14:00:01 +0530,0:01:05
Master_Script,Success,2,1,2017-12-12 22:02:47 -0600,2017-12-12 22:09:22 -0600,0:03:35
